Stats,,,,,,,,
Total Exited,2037,,,,,,,
Total Records,10000,,,,,,,
Exit Ratio,20.4%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
RowNumber,Exited,P_hat,Total Select,Total Percent Select,Random Select ,Random Select Percent,Model Select,Model Select Percent
4816,0,0.930669387,1,0.0001,0.2037,0.0001,0,0
3532,1,0.928310811,2,0.0002,0.4074,0.0002,1,0.000490918
9588,0,0.923302971,3,0.0003,0.6111,0.0003,1,0.000490918
7500,1,0.906178289,4,0.0004,0.8148,0.0004,2,0.000981836
9556,1,0.90445727,5,0.0005,1.0185,0.0005,3,0.001472754
8489,1,0.892241568,6,0.0006,1.2222,0.0006,4,0.001963672
7630,1,0.882858638,7,0.0007,1.4259,0.0007,5,0.00245459
7693,0,0.876196717,8,0.0008,1.6296,0.0008,5,0.00245459
9748,1,0.874290461,9,0.0009,1.8333,0.0009,6,0.002945508
4464,1,0.871828191,10,0.001,2.037,0.001,7,0.003436426
7009,1,0.861914645,11,0.0011,2.2407,0.0011,8,0.003927344
8157,0,0.859745117,12,0.0012,2.4444,0.0012,8,0.003927344
4436,1,0.857004906,13,0.0013,2.6481,0.0013,9,0.004418262
7814,1,0.842061584,14,0.0014,2.8518,0.0014,10,0.00490918
4560,1,0.839912351,15,0.0015,3.0555,0.0015,11,0.005400098
417,1,0.837359566,16,0.0016,3.2592,0.0016,12,0.005891016
3388,0,0.834867063,17,0.0017,3.4629,0.0017,12,0.005891016
4752,1,0.832187654,18,0.0018,3.6666,0.0018,13,0.006381934
4502,0,0.830751603,19,0.0019,3.8703,0.0019,13,0.006381934
618,1,0.830145633,20,0.002,4.074,0.002,14,0.006872852
4564,1,0.826519394,21,0.0021,4.2777,0.0021,15,0.00736377
8189,0,0.821812646,22,0.0022,4.4814,0.0022,15,0.00736377
9293,0,0.818944397,23,0.0023,4.6851,0.0023,15,0.00736377
9333,1,0.818496449,24,0.0024,4.8888,0.0024,16,0.007854688
6531,0,0.817436017,25,0.0025,5.0925,0.0025,16,0.007854688
9310,0,0.816555379,26,0.0026,5.2962,0.0026,16,0.007854688
4397,0,0.815313365,27,0.0027,5.4999,0.0027,16,0.007854688
2474,1,0.812672309,28,0.0028,5.7036,0.0028,17,0.008345606
3367,0,0.810541414,29,0.0029,5.9073,0.0029,17,0.008345606
372,0,0.809108014,30,0.003,6.111,0.003,17,0.008345606
7852,1,0.805715458,31,0.0031,6.3147,0.0031,18,0.008836524
9603,1,0.805602921,32,0.0032,6.5184,0.0032,19,0.009327442
421,1,0.804985191,33,0.0033,6.7221,0.0033,20,0.00981836
5440,0,0.804734744,34,0.0034,6.9258,0.0034,20,0.00981836
4319,0,0.804473578,35,0.0035,7.1295,0.0035,20,0.00981836
2778,1,0.804083232,36,0.0036,7.3332,0.0036,21,0.010309278
9473,0,0.802797792,37,0.0037,7.5369,0.0037,21,0.010309278
6444,0,0.801556754,38,0.0038,7.7406,0.0038,21,0.010309278
3911,1,0.799821352,39,0.0039,7.9443,0.0039,22,0.010800196
5577,1,0.797009668,40,0.004,8.148,0.004,23,0.011291114
5005,1,0.796928292,41,0.0041,8.3517,0.0041,24,0.011782032
6760,0,0.796780029,42,0.0042,8.5554,0.0042,24,0.011782032
314,0,0.796347335,43,0.0043,8.7591,0.0043,24,0.011782032
2191,1,0.79515389,44,0.0044,8.9628,0.0044,25,0.01227295
3992,1,0.794944022,45,0.0045,9.1665,0.0045,26,0.012763868
7734,1,0.794517634,46,0.0046,9.3702,0.0046,27,0.013254786
4932,0,0.793286068,47,0.0047,9.5739,0.0047,27,0.013254786
7637,1,0.792573266,48,0.0048,9.7776,0.0048,28,0.013745704
3111,1,0.790208152,49,0.0049,9.9813,0.0049,29,0.014236622
3941,1,0.789776719,50,0.005,10.185,0.005,30,0.014727541
1159,1,0.786154908,51,0.0051,10.3887,0.0051,31,0.015218459
1791,0,0.786144038,52,0.0052,10.5924,0.0052,31,0.015218459
777,1,0.785769493,53,0.0053,10.7961,0.0053,32,0.015709377
7259,1,0.785672883,54,0.0054,10.9998,0.0054,33,0.016200295
3647,1,0.784250197,55,0.0055,11.2035,0.0055,34,0.016691213
2351,1,0.781087664,56,0.0056,11.4072,0.0056,35,0.017182131
8099,1,0.781016685,57,0.0057,11.6109,0.0057,36,0.017673049
1411,1,0.779682085,58,0.0058,11.8146,0.0058,37,0.018163967
9011,1,0.776786767,59,0.0059,12.0183,0.0059,38,0.018654885
6813,1,0.775208899,60,0.006,12.222,0.006,39,0.019145803
400,1,0.775054559,61,0.0061,12.4257,0.0061,40,0.019636721
599,1,0.773364132,62,0.0062,12.6294,0.0062,41,0.020127639
1428,1,0.772340183,63,0.0063,12.8331,0.0063,42,0.020618557
6582,1,0.772192303,64,0.0064,13.0368,0.0064,43,0.021109475
7437,1,0.771863505,65,0.0065,13.2405,0.0065,44,0.021600393
2116,1,0.769565719,66,0.0066,13.4442,0.0066,45,0.022091311
2169,1,0.765625007,67,0.0067,13.6479,0.0067,46,0.022582229
2773,0,0.765079719,68,0.0068,13.8516,0.0068,46,0.022582229
2107,1,0.762857206,69,0.0069,14.0553,0.0069,47,0.023073147
3383,0,0.76141654,70,0.007,14.259,0.007,47,0.023073147
2496,1,0.759076861,71,0.0071,14.4627,0.0071,48,0.023564065
5021,1,0.755442882,72,0.0072,14.6664,0.0072,49,0.024054983
2615,1,0.75520113,73,0.0073,14.8701,0.0073,50,0.024545901
6319,1,0.754740445,74,0.0074,15.0738,0.0074,51,0.025036819
6198,1,0.754733829,75,0.0075,15.2775,0.0075,52,0.025527737
1254,0,0.753934403,76,0.0076,15.4812,0.0076,52,0.025527737
5790,1,0.753786015,77,0.0077,15.6849,0.0077,53,0.026018655
1743,1,0.753529545,78,0.0078,15.8886,0.0078,54,0.026509573
4265,1,0.75267025,79,0.0079,16.0923,0.0079,55,0.027000491
4471,1,0.752486736,80,0.008,16.296,0.008,56,0.027491409
8712,0,0.749593214,81,0.0081,16.4997,0.0081,56,0.027491409
2521,1,0.744706813,82,0.0082,16.7034,0.0082,57,0.027982327
6277,1,0.744328689,83,0.0083,16.9071,0.0083,58,0.028473245
9672,0,0.744314338,84,0.0084,17.1108,0.0084,58,0.028473245
180,1,0.743794049,85,0.0085,17.3145,0.0085,59,0.028964163
3886,1,0.742295429,86,0.0086,17.5182,0.0086,60,0.029455081
2155,1,0.742099647,87,0.0087,17.7219,0.0087,61,0.029945999
2916,1,0.741201223,88,0.0088,17.9256,0.0088,62,0.030436917
632,1,0.740957162,89,0.0089,18.1293,0.0089,63,0.030927835
3498,1,0.738456588,90,0.009,18.333,0.009,64,0.031418753
9880,1,0.73669854,91,0.0091,18.5367,0.0091,65,0.031909671
4733,1,0.735469793,92,0.0092,18.7404,0.0092,66,0.032400589
5958,0,0.735298474,93,0.0093,18.9441,0.0093,66,0.032400589
7064,0,0.735143913,94,0.0094,19.1478,0.0094,66,0.032400589
8222,1,0.733491184,95,0.0095,19.3515,0.0095,67,0.032891507
8218,0,0.731799081,96,0.0096,19.5552,0.0096,67,0.032891507
7058,0,0.731492276,97,0.0097,19.7589,0.0097,67,0.032891507
7809,1,0.731470717,98,0.0098,19.9626,0.0098,68,0.033382425
5291,1,0.73093281,99,0.0099,20.1663,0.0099,69,0.033873343
8769,1,0.730355967,100,0.01,20.37,0.01,70,0.034364261
6576,1,0.727337913,101,0.0101,20.5737,0.0101,71,0.034855179
4014,1,0.72727181,102,0.0102,20.7774,0.0102,72,0.035346097
9207,1,0.726613748,103,0.0103,20.9811,0.0103,73,0.035837015
7214,1,0.726352899,104,0.0104,21.1848,0.0104,74,0.036327933
3560,1,0.726091221,105,0.0105,21.3885,0.0105,75,0.036818851
4381,1,0.725566736,106,0.0106,21.5922,0.0106,76,0.037309769
5069,0,0.725250559,107,0.0107,21.7959,0.0107,76,0.037309769
3207,1,0.722684812,108,0.0108,21.9996,0.0108,77,0.037800687
9439,1,0.722587712,109,0.0109,22.2033,0.0109,78,0.038291605
5369,1,0.72102479,110,0.011,22.407,0.011,79,0.038782523
4171,0,0.720169459,111,0.0111,22.6107,0.0111,79,0.038782523
5607,1,0.718621037,112,0.0112,22.8144,0.0112,80,0.039273441
9479,1,0.713580692,113,0.0113,23.0181,0.0113,81,0.039764359
7143,1,0.712993322,114,0.0114,23.2218,0.0114,82,0.040255277
4887,0,0.712948077,115,0.0115,23.4255,0.0115,82,0.040255277
4591,0,0.712890878,116,0.0116,23.6292,0.0116,82,0.040255277
59,1,0.712177833,117,0.0117,23.8329,0.0117,83,0.040746195
7801,1,0.712029208,118,0.0118,24.0366,0.0118,84,0.041237113
3899,1,0.70983808,119,0.0119,24.2403,0.0119,85,0.041728031
4524,0,0.706153346,120,0.012,24.444,0.012,85,0.041728031
5951,1,0.706148615,121,0.0121,24.6477,0.0121,86,0.042218949
5133,0,0.705822372,122,0.0122,24.8514,0.0122,86,0.042218949
9334,0,0.705249001,123,0.0123,25.0551,0.0123,86,0.042218949
5684,1,0.704026316,124,0.0124,25.2588,0.0124,87,0.042709867
6722,0,0.703988738,125,0.0125,25.4625,0.0125,87,0.042709867
4154,1,0.703712631,126,0.0126,25.6662,0.0126,88,0.043200785
2275,1,0.703586226,127,0.0127,25.8699,0.0127,89,0.043691703
7139,1,0.702640931,128,0.0128,26.0736,0.0128,90,0.044182622
2455,1,0.701638897,129,0.0129,26.2773,0.0129,91,0.04467354
7827,1,0.701151101,130,0.013,26.481,0.013,92,0.045164458
7804,0,0.700905198,131,0.0131,26.6847,0.0131,92,0.045164458
17,1,0.700780182,132,0.0132,26.8884,0.0132,93,0.045655376
3692,0,0.699931112,133,0.0133,27.0921,0.0133,93,0.045655376
889,0,0.699604298,134,0.0134,27.2958,0.0134,93,0.045655376
1115,1,0.699023392,135,0.0135,27.4995,0.0135,94,0.046146294
4660,0,0.698845592,136,0.0136,27.7032,0.0136,94,0.046146294
3230,1,0.698642211,137,0.0137,27.9069,0.0137,95,0.046637212
8364,1,0.698499948,138,0.0138,28.1106,0.0138,96,0.04712813
3034,0,0.697220575,139,0.0139,28.3143,0.0139,96,0.04712813
4644,1,0.696129964,140,0.014,28.518,0.014,97,0.047619048
6912,1,0.696073379,141,0.0141,28.7217,0.0141,98,0.048109966
3097,1,0.696008498,142,0.0142,28.9254,0.0142,99,0.048600884
1934,0,0.695657821,143,0.0143,29.1291,0.0143,99,0.048600884
2109,0,0.695418278,144,0.0144,29.3328,0.0144,99,0.048600884
2660,1,0.69499563,145,0.0145,29.5365,0.0145,100,0.049091802
8299,1,0.693762294,146,0.0146,29.7402,0.0146,101,0.04958272
610,0,0.693722005,147,0.0147,29.9439,0.0147,101,0.04958272
7318,1,0.693050874,148,0.0148,30.1476,0.0148,102,0.050073638
7599,1,0.692782752,149,0.0149,30.3513,0.0149,103,0.050564556
6744,1,0.69200268,150,0.015,30.555,0.015,104,0.051055474
953,0,0.691327437,151,0.0151,30.7587,0.0151,104,0.051055474
3379,0,0.690473119,152,0.0152,30.9624,0.0152,104,0.051055474
767,0,0.69037608,153,0.0153,31.1661,0.0153,104,0.051055474
8863,1,0.690053115,154,0.0154,31.3698,0.0154,105,0.051546392
8394,1,0.688790935,155,0.0155,31.5735,0.0155,106,0.05203731
5256,1,0.688764588,156,0.0156,31.7772,0.0156,107,0.052528228
2880,1,0.687970712,157,0.0157,31.9809,0.0157,108,0.053019146
3120,1,0.687768292,158,0.0158,32.1846,0.0158,109,0.053510064
1647,1,0.687452636,159,0.0159,32.3883,0.0159,110,0.054000982
3720,1,0.686964474,160,0.016,32.592,0.016,111,0.0544919
1658,1,0.686434231,161,0.0161,32.7957,0.0161,112,0.054982818
8924,1,0.68549766,162,0.0162,32.9994,0.0162,113,0.055473736
9578,1,0.685295129,163,0.0163,33.2031,0.0163,114,0.055964654
7768,1,0.685264291,164,0.0164,33.4068,0.0164,115,0.056455572
6730,1,0.685079607,165,0.0165,33.6105,0.0165,116,0.05694649
585,1,0.68462806,166,0.0166,33.8142,0.0166,117,0.057437408
4257,0,0.684375146,167,0.0167,34.0179,0.0167,117,0.057437408
6832,1,0.682721675,168,0.0168,34.2216,0.0168,118,0.057928326
6710,1,0.682409303,169,0.0169,34.4253,0.0169,119,0.058419244
8604,1,0.681931439,170,0.017,34.629,0.017,120,0.058910162
9042,0,0.681903963,171,0.0171,34.8327,0.0171,120,0.058910162
4314,0,0.681416431,172,0.0172,35.0364,0.0172,120,0.058910162
9694,1,0.680810367,173,0.0173,35.2401,0.0173,121,0.05940108
9833,1,0.680129585,174,0.0174,35.4438,0.0174,122,0.059891998
9647,1,0.679778851,175,0.0175,35.6475,0.0175,123,0.060382916
8476,1,0.679742213,176,0.0176,35.8512,0.0176,124,0.060873834
4185,1,0.6794338,177,0.0177,36.0549,0.0177,125,0.061364752
128,1,0.677843011,178,0.0178,36.2586,0.0178,126,0.06185567
3557,1,0.677392786,179,0.0179,36.4623,0.0179,127,0.062346588
6376,1,0.676125461,180,0.018,36.666,0.018,128,0.062837506
6520,1,0.675501295,181,0.0181,36.8697,0.0181,129,0.063328424
4367,0,0.675204755,182,0.0182,37.0734,0.0182,129,0.063328424
3146,1,0.675083875,183,0.0183,37.2771,0.0183,130,0.063819342
3794,1,0.675047505,184,0.0184,37.4808,0.0184,131,0.06431026
7273,0,0.674815968,185,0.0185,37.6845,0.0185,131,0.06431026
768,1,0.673713013,186,0.0186,37.8882,0.0186,132,0.064801178
857,1,0.672362844,187,0.0187,38.0919,0.0187,133,0.065292096
5406,0,0.672116181,188,0.0188,38.2956,0.0188,133,0.065292096
6367,0,0.671715,189,0.0189,38.4993,0.0189,133,0.065292096
8216,1,0.67149168,190,0.019,38.703,0.019,134,0.065783014
4645,0,0.671274872,191,0.0191,38.9067,0.0191,134,0.065783014
2040,0,0.670657407,192,0.0192,39.1104,0.0192,134,0.065783014
5824,1,0.670632883,193,0.0193,39.3141,0.0193,135,0.066273932
2459,0,0.670457356,194,0.0194,39.5178,0.0194,135,0.066273932
4198,1,0.669787496,195,0.0195,39.7215,0.0195,136,0.06676485
7534,1,0.669181539,196,0.0196,39.9252,0.0196,137,0.067255768
6562,1,0.668947476,197,0.0197,40.1289,0.0197,138,0.067746686
5702,1,0.666891659,198,0.0198,40.3326,0.0198,139,0.068237604
2926,0,0.666686061,199,0.0199,40.5363,0.0199,139,0.068237604
